✅ Human present (static or moving)
Time: 10s | Presence: 3 | Body Sign: 96
✅ Human present (static or moving)
Time: 12s | Presence: 3 | Body Sign: 168
✅ Human present (static or moving)
Time: 14s | Presence: 3 | Body Sign: 216
✅ Human present (static or moving)
Time: 16s | Presence: 3 | Body Sign: 216
✅ Human present (static or moving)
Time: 17s | Presence: 5 | Body Sign: 1
❌ No human detected
Time: 19s | Presence: 3 | Body Sign: 24
✅ Human present (static or moving)
Time: 21s | Presence: 3 | Body Sign: 96
✅ Human present (static or moving)
Time: 23s | Presence: 3 | Body Sign: 144
✅ Human present (static or moving)
Time: 25s | Presence: 3 | Body Sign: 128
✅ Human present (static or moving)
Time: 28s | Presence: 3 | Body Sign: 128
✅ Human present (static or moving)
Time: 30s | Presence: 3 | Body Sign: 208
✅ Human present (static or moving)
Time: 32s | Presence: 3 | Body Sign: 64
Time: 39s | Presence: 3 | Body Sign: 136
✅ Human present (static or moving)
Time: 41s | Presence: 3 | Body Sign: 152
✅ Human present (static or moving)
Time: 43s | Presence: 3 | Body Sign: 232
✅ Human present (static or moving)
Time: 45s | Presence: 3 | Body Sign: 48
✅ Human present (static or moving)
Time: 47s | Presence: 3 | Body Sign: 24
✅ Human present (static or moving)
Time: 48s | Presence: 5 | Body Sign: 1
❌ No human detected
Time: 50s | Presence: 3 | Body Sign: 248
✅ Human present (static or moving)
Time: 52s | Presence: 3 | Body Sign: 152
✅ Human present (static or moving)
Time: 54s | Presence: 3 | Body Sign: 160
✅ Human present (static or moving)
Time: 56s | Presence: 3 | Body Sign: 168
✅ Human present (static or moving)
Time: 58s | Presence: 3 | Body Sign: 96
✅ Human present (static or moving)
Time: 60s | Presence: 3 | Body Sign: 152
✅ Human present (static or moving)
Time: 62s | Presence: 3 | Body Sign: 112
✅ Human present (static or moving)
Time: 63s | Presence: 5 | Body Sign: 1
❌ No human detected
Time: 50s | Presence: 3 | Body Sign: 248
✅ Human present (static or moving)
Time: 52s | Presence: 3 | Body Sign: 152
✅ Human present (static or moving)
Time: 54s | Presence: 3 | Body Sign: 160
✅ Human present (static or moving)
Time: 56s | Presence: 3 | Body Sign: 168
✅ Human present (static or moving)
Time: 58s | Presence: 3 | Body Sign: 96
✅ Human present (static or moving)
Time: 60s | Presence: 3 | Body Sign: 152
✅ Human present (static or moving)
Time: 62s | Presence: 3 | Body Sign: 112
✅ Human present (static or moving)
Time: 63s | Presence: 5 | Body Sign: 1
❌ No human detected
