Sample,Time_ms,Raw_Bytes
113,193979,55 11 0 4 3 6 0 0 224 65 84 101
114,195990,55 11 0 4 3 6 0 0 136 65 123 165
115,197977,55 11 0 4 3 6 0 0 16 66 80 100
116,199978,55 11 0 4 3 6 0 0 80 65 33 165
117,200977,55 10 0 4 5 1 1 1 1 20 52
118,202980,55 11 0 4 3 6 0 0 136 65 123 165
119,204980,55 11 0 4 3 6 0 0 80 65 33 165
120,206980,55 11 0 4 3 6 0 0 48 65 9 165
121,208991,55 11 0 4 3 6 0 0 32 65 4 101
122,210979,55 11 0 4 3 6 0 0 64 65 44 101
123,212980,55 11 0 4 3 6 0 0 64 65 44 101
124,214979,55 11 0 4 3 6 0 0 96 65 53 165
125,215981,55 10 0 4 5 1 1 1 1 20 52
126,217978,55 11 0 4 3 6 0 0 64 65 44 101
127,219980,55 11 0 4 3 6 0 0 48 65 9 165
128,221980,55 11 0 4 3 6 0 0 64 65 44 101
129,223980,55 11 0 4 3 6 0 0 16 65 16 101
130,225979,55 11 0 4 3 6 0 0 16 65 16 101
131,227993,55 11 0 4 3 6 0 0 32 65 4 101
132,229980,55 11 0 4 3 6 0 0 0 65 29 165
133,230980,55 10 0 4 5 1 1 1 1 20 52
134,232977,55 11 0 4 3 6 0 0 32 65 4 101
135,234978,55 11 0 4 3 6 0 0 32 65 4 101
136,236978,55 11 0 4 3 6 0 0 0 65 29 165
137,238977,55 11 0 4 3 6 0 0 16 65 16 101
138,240977,55 11 0 4 3 6 0 0 0 65 29 165
139,242977,55 11 0 4 3 6 0 0 0 65 29 165
140,244977,55 11 0 4 3 6 0 0 64 65 44 101
141,245989,55 10 0 4 5 1 1 1 1 20 52
142,247977,55 11 0 4 3 6 0 0 16 65 16 101
143,249977,55 11 0 4 3 6 0 0 32 65 4 101
144,251977,55 11 0 4 3 6 0 0 32 65 4 101
145,253978,55 11 0 4 3 6 0 0 0 65 29 165
146,255977,55 11 0 4 3 6 0 0 0 65 29 165
147,257977,55 11 0 4 3 6 0 0 96 65 53 165
148,259977,55 11 0 4 3 6 0 0 64 65 44 101
149,260977,55 10 0 4 5 1 1 1 1 20 52
150,262978,55 11 0 4 3 6 0 0 64 65 44 101
151,264990,55 11 0 4 3 6 0 0 0 65 29 165
152,266978,55 11 0 4 3 6 0 0 32 65 4 101
153,268977,55 11 0 4 3 6 0 0 32 65 4 101
154,270982,55 11 0 4 3 6 0 0 48 65 9 165
155,272976,55 11 0 4 3 6 0 0 112 65 56 101
156,274977,55 11 0 4 3 6 0 0 152 65 118 101
157,275977,55 10 0 4 5 1 1 1 1 20 52
158,277977,55 11 0 4 3 6 0 0 224 64 149 165
159,279977,55 11 0 4 3 6 0 0 0 65 29 165
160,281976,55 11 0 4 3 6 0 0 32 65 4 101
161,283993,55 11 0 4 3 6 0 0 16 65 16 101
162,285977,55 11 0 4 3 6 0 0 80 65 33 165
163,287977,55 11 0 4 3 6 0 0 16 65 16 101
164,289977,55 11 0 4 3 6 0 0 0 65 29 165
165,290977,55 10 0 4 5 1 1 1 1 20 52
166,292977,55 11 0 4 3 6 0 0 0 65 29 165
167,294977,55 11 0 4 3 6 0 0 0 65 29 165
168,296978,55 11 0 4 3 6 0 0 128 65 124 101
169,298978,55 11 0 4 3 6 0 0 16 65 16 101
170,300977,55 11 0 4 3 6 0 0 16 65 16 101
171,302990,55 11 0 4 3 6 0 0 64 65 44 101
172,304978,55 11 0 4 3 6 0 0 32 65 4 101
173,305977,55 10 0 4 5 1 1 1 1 20 52
174,308978,55 11 0 4 3 6 0 0 0 65 29 165
175,310977,55 11 0 4 3 6 0 0 16 65 16 101
176,312978,55 11 0 4 3 6 0 0 0 65 29 165
177,314977,55 11 0 4 3 6 0 0 0 65 29 165
178,316977,55 11 0 4 3 6 0 0 64 65 44 101
179,318978,55 11 0 4 3 6 0 0 0 65 29 165
180,320978,55 11 0 4 3 6 0 0 48 65 9 165
181,321992,55 10 0 4 5 1 1 1 1 20 52
182,322979,55 11 0 4 3 6 0 0 176 65 104 101
183,323980,55 10 0 4 3 7 1 1 2 220 189
184,324979,55 11 0 4 3 6 0 0 32 65 4 101
185,326980,55 11 0 4 3 6 0 0 176 65 104 101
186,328981,55 11 0 4 3 6 0 0 32 65 4 101
187,330982,55 11 0 4 3 6 0 0 32 65 4 101
188,332979,55 11 0 4 3 6 0 0 32 65 4 101
189,334978,55 11 0 4 3 6 0 0 48 65 9 165
190,335980,55 11 0 4 3 6 0 0 112 65 56 101
191,337993,55 11 0 4 3 6 0 0 32 65 4 101
192,339980,55 11 0 4 3 6 0 0 16 65 16 101
193,341980,55 11 0 4 3 6 0 0 16 65 16 101
194,342980,55 10 0 4 3 7 1 1 3 29 125
195,343980,55 10 0 4 3 7 1 1 2 220 189
196,344979,55 11 0 4 3 6 0 0 224 64 149 165
197,346980,55 11 0 4 3 6 0 0 224 64 149 165
198,348982,55 11 0 4 3 6 0 0 16 65 16 101
199,351031,55 11 0 4 3 6 0 0 16 65 16 101
200,351980,55 10 0 4 5 1 1 1 1 20 52
201,353991,55 11 0 4 3 6 0 0 48 65 9 165
202,355977,55 11 0 4 3 6 0 0 32 65 4 101
203,357978,55 11 0 4 3 6 0 0 224 64 149 165
204,359977,55 11 0 4 3 6 0 0 32 65 4 101
205,361977,55 11 0 4 3 6 0 0 32 65 4 101
206,363978,55 11 0 4 3 6 0 0 16 65 16 101
207,365977,55 11 0 4 3 6 0 0 32 65 4 101
208,366977,55 10 0 4 5 1 1 1 1 20 52
209,368978,55 11 0 4 3 6 0 0 224 64 149 165
210,370978,55 11 0 4 3 6 0 0 16 65 16 101
211,371990,55 11 0 4 3 6 0 0 0 65 29 165
212,372977,55 11 0 4 3 6 0 0 32 65 4 101
213,373977,55 10 0 4 3 7 1 1 4 92 191
214,375977,55 11 0 4 3 6 0 0 32 65 4 101
215,377977,55 11 0 4 3 6 0 0 48 65 9 165
216,379977,55 11 0 4 3 6 0 0 48 65 9 165
217,380977,55 11 0 4 3 6 0 0 64 65 44 101
218,382977,55 11 0 4 3 6 0 0 16 65 16 101
219,384977,55 11 0 4 3 6 0 0 16 65 16 101
220,386977,55 11 0 4 3 6 0 0 48 65 9 165
221,388989,55 11 0 4 3 6 0 0 48 65 9 165
222,390977,55 11 0 4 3 6 0 0 32 65 4 101
223,392977,55 11 0 4 3 6 0 0 64 65 44 101
224,394977,55 11 0 4 3 6 0 0 224 64 149 165
225,395977,55 11 0 4 3 6 0 0 80 65 33 165
226,397977,55 11 0 4 3 6 0 0 32 65 4 101
227,399977,55 11 0 4 3 6 0 0 224 64 149 165
228,401978,55 11 0 4 3 6 0 0 16 65 16 101
229,403977,55 11 0 4 3 6 0 0 16 65 16 101
230,405977,55 11 0 4 3 6 0 0 32 65 4 101
231,407991,55 11 0 4 3 6 0 0 48 65 9 165
232,409978,55 11 0 4 3 6 0 0 16 65 16 101
233,410977,55 11 0 4 3 6 0 0 0 65 29 165
234,412979,55 11 0 4 3 6 0 0 48 65 9 165
235,414977,55 11 0 4 3 6 0 0 16 65 16 101
236,416977,55 11 0 4 3 6 0 0 48 65 9 165
237,418979,55 11 0 4 3 6 0 0 192 64 140 101
238,420977,55 11 0 4 3 6 0 0 48 65 9 165
239,422977,55 11 0 4 3 6 0 0 48 65 9 165
240,424977,55 11 0 4 3 6 0 0 32 65 4 101
241,426990,55 11 0 4 3 6 0 0 48 65 9 165
242,427977,55 11 0 4 3 6 0 0 32 65 4 101
243,429978,55 11 0 4 3 6 0 0 112 65 56 101
244,432977,55 11 0 4 3 6 0 0 32 65 4 101
245,434977,55 11 0 4 3 6 0 0 0 65 29 165
246,436977,55 11 0 4 3 6 0 0 48 65 9 165
247,438979,55 11 0 4 3 6 0 0 0 65 29 165
248,440977,55 11 0 4 3 6 0 0 32 65 4 101
249,441980,55 11 0 4 3 6 0 0 0 65 29 165
250,443983,55 11 0 4 3 6 0 0 240 65 89 165
