Sample,Time_ms,Raw_Bytes
115,135979,55 11 0 4 3 6 0 0 0 65 29 165
116,137980,55 11 0 4 3 6 0 0 192 64 140 101
117,139979,55 11 0 4 3 6 0 0 224 64 149 165
118,140979,55 10 0 4 5 1 1 1 1 20 52
119,142979,55 11 0 4 3 6 0 0 160 64 164 101
120,144979,55 11 0 4 3 6 0 0 0 65 29 165
121,146991,55 11 0 4 3 6 0 0 0 65 29 165
122,148979,55 11 0 4 3 6 0 0 192 64 140 101
123,149979,55 11 0 4 3 6 0 0 192 64 140 101
124,150979,55 11 0 4 3 6 0 0 224 64 149 165
125,152979,55 11 0 4 3 6 0 0 192 64 140 101
126,153984,55 10 0 4 3 7 1 1 2 220 189
127,154979,55 11 0 4 3 6 0 0 160 64 164 101
128,155979,55 10 0 4 3 7 1 1 3 29 125
129,157979,55 11 0 4 3 6 0 0 160 64 164 101
130,158979,55 10 0 4 3 7 1 1 5 157 127
131,160991,55 11 0 4 3 6 0 0 192 64 140 101
132,162982,55 11 0 4 3 6 0 0 160 64 164 101
133,164982,55 11 0 4 3 6 0 0 224 64 149 165
134,166982,55 11 0 4 3 6 0 0 224 64 149 165
135,167982,55 10 0 4 3 7 1 1 2 220 189
136,168982,55 11 0 4 3 6 0 0 160 64 164 101
137,169982,55 11 0 4 3 6 0 0 224 64 149 165
138,170982,55 10 0 4 3 7 1 1 5 157 127
139,172982,55 11 0 4 3 6 0 0 224 64 149 165
140,173982,55 10 0 4 3 7 1 1 2 220 189
141,174994,55 11 0 4 3 6 0 0 192 64 140 101
142,175982,55 10 0 4 3 7 1 1 2 220 189
143,177982,55 11 0 4 3 6 0 0 160 64 164 101
144,178982,55 10 0 4 3 7 1 1 3 29 125
145,180982,55 11 0 4 3 6 0 0 0 65 29 165
146,181981,55 11 0 4 3 6 0 0 32 65 4 101
147,182982,55 11 0 4 3 6 0 0 192 64 140 101
148,184982,55 11 0 4 3 6 0 0 160 64 164 101
149,185982,55 11 0 4 3 6 0 0 224 64 149 165
150,186981,55 11 0 4 3 6 0 0 224 64 149 165
151,187994,55 11 0 4 3 6 0 0 192 64 140 101
152,188981,55 10 0 4 3 7 1 1 3 29 125
153,190983,55 11 0 4 3 6 0 0 160 64 164 101
154,191981,55 10 0 4 3 7 1 1 3 29 125
155,192982,55 11 0 4 3 6 0 0 0 65 29 165
156,193979,55 11 0 4 3 6 0 0 160 64 164 101
157,195979,55 11 0 4 3 6 0 0 192 64 140 101
158,197980,55 11 0 4 3 6 0 0 0 65 29 165
159,199979,55 11 0 4 3 6 0 0 160 64 164 101
160,200979,55 10 0 4 5 1 1 1 1 20 52
161,202991,55 11 0 4 3 6 0 0 224 64 149 165
162,204979,55 11 0 4 3 6 0 0 192 64 140 101
163,206979,55 11 0 4 3 6 0 0 160 64 164 101
164,209978,55 11 0 4 3 6 0 0 16 65 16 101
165,211979,55 11 0 4 3 6 0 0 224 64 149 165
166,213979,55 11 0 4 3 6 0 0 0 65 29 165
167,215979,55 11 0 4 3 6 0 0 0 65 29 165
168,216979,55 10 0 4 5 1 1 1 1 20 52
169,218979,55 11 0 4 3 6 0 0 192 64 140 101
170,220979,55 11 0 4 3 6 0 0 224 64 149 165
171,221991,55 10 0 4 3 7 1 1 2 220 189
172,222979,55 10 0 4 3 7 1 1 3 29 125
173,224979,55 11 0 4 3 6 0 0 16 65 16 101
174,225980,55 10 0 4 3 7 1 1 5 157 127
175,227979,55 11 0 4 3 6 0 0 0 65 29 165
176,228979,55 10 0 4 3 7 1 1 2 220 189
177,229979,55 11 0 4 3 6 0 0 16 65 16 101
178,230979,55 11 0 4 3 6 0 0 192 64 140 101
179,232979,55 11 0 4 3 6 0 0 224 64 149 165
180,233979,55 10 0 4 3 7 1 1 5 157 127
181,235991,55 11 0 4 3 6 0 0 192 64 140 101
182,237979,55 11 0 4 3 6 0 0 224 64 149 165
183,239980,55 11 0 4 3 6 0 0 192 64 140 101
184,241980,55 11 0 4 3 6 0 0 192 64 140 101
185,243980,55 11 0 4 3 6 0 0 224 64 149 165
186,244979,55 10 0 4 3 7 1 1 2 220 189
