Sample,Time_ms,Raw_Bytes
113,176978,55 10 0 4 3 7 1 1 2 220 189
114,177978,55 11 0 4 3 6 0 0 48 65 9 165
115,179978,55 11 0 4 3 6 0 0 224 64 149 165
116,181978,55 11 0 4 3 6 0 0 192 64 140 101
117,183978,55 11 0 4 3 6 0 0 192 64 140 101
118,184977,55 11 0 4 3 6 0 0 224 64 149 165
119,186978,55 11 0 4 3 6 0 0 160 64 164 101
120,188978,55 11 0 4 3 6 0 0 192 64 140 101
121,189991,55 11 0 4 3 6 0 0 0 65 29 165
122,191979,55 11 0 4 3 6 0 0 160 64 164 101
123,192980,55 11 0 4 3 6 0 0 192 64 140 101
124,193978,55 11 0 4 3 6 0 0 224 64 149 165
125,194981,55 11 0 4 3 6 0 0 32 66 68 100
126,196982,55 11 0 4 3 6 0 0 0 65 29 165
127,197981,55 11 0 4 3 6 0 0 16 65 16 101
128,198981,55 11 0 4 3 6 0 0 192 64 140 101
129,199980,55 10 0 4 3 7 1 1 4 92 191
130,200980,55 10 0 4 5 1 1 1 1 20 52
131,202993,55 11 0 4 3 6 0 0 192 64 140 101
132,204981,55 11 0 4 3 6 0 0 192 64 140 101
133,206982,55 11 0 4 3 6 0 0 192 64 140 101
134,207980,55 11 0 4 3 6 0 0 48 65 9 165
135,208980,55 10 0 4 3 7 1 1 2 220 189
136,209980,55 11 0 4 3 6 0 0 192 64 140 101
137,211981,55 11 0 4 3 6 0 0 64 65 44 101
138,213981,55 11 0 4 3 6 0 0 160 64 164 101
139,214981,55 11 0 4 3 6 0 0 32 65 4 101
140,216981,55 11 0 4 3 6 0 0 0 65 29 165
141,218993,55 11 0 4 3 6 0 0 192 64 140 101
142,220979,55 11 0 4 3 6 0 0 192 64 140 101
143,222981,55 11 0 4 3 6 0 0 32 65 4 101
144,224980,55 11 0 4 3 6 0 0 192 64 140 101
145,226980,55 11 0 4 3 6 0 0 224 64 149 165
146,228979,55 11 0 4 3 6 0 0 64 65 44 101
147,229978,55 11 0 4 3 6 0 0 224 64 149 165
148,231978,55 11 0 4 3 6 0 0 192 64 140 101
149,233978,55 11 0 4 3 6 0 0 0 65 29 165
150,235981,55 11 0 4 3 6 0 0 0 65 29 165
151,237993,55 11 0 4 3 6 0 0 192 64 140 101
152,239981,55 11 0 4 3 6 0 0 0 65 29 165
153,241983,55 11 0 4 3 6 0 0 48 65 9 165
154,243981,55 11 0 4 3 6 0 0 224 64 149 165
155,244979,55 11 0 4 3 6 0 0 16 65 16 101
156,246981,55 11 0 4 3 6 0 0 224 64 149 165
157,248980,55 11 0 4 3 6 0 0 0 65 29 165
158,250981,55 11 0 4 3 6 0 0 224 64 149 165
159,252981,55 11 0 4 3 6 0 0 192 64 140 101
160,254981,55 11 0 4 3 6 0 0 48 65 9 165
161,256991,55 11 0 4 3 6 0 0 224 64 149 165
162,258978,55 11 0 4 3 6 0 0 16 65 16 101
163,259978,55 11 0 4 3 6 0 0 224 64 149 165
164,261979,55 11 0 4 3 6 0 0 224 64 149 165
165,263978,55 11 0 4 3 6 0 0 64 65 44 101
166,265978,55 11 0 4 3 6 0 0 16 65 16 101
167,267979,55 11 0 4 3 6 0 0 0 65 29 165
168,269977,55 11 0 4 3 6 0 0 32 65 4 101
169,271979,55 11 0 4 3 6 0 0 32 65 4 101
170,273978,55 11 0 4 3 6 0 0 16 65 16 101
171,275991,55 11 0 4 3 6 0 0 0 65 29 165
172,277978,55 11 0 4 3 6 0 0 0 65 29 165
173,279978,55 11 0 4 3 6 0 0 32 65 4 101
174,281978,55 11 0 4 3 6 0 0 128 65 124 101
175,283978,55 11 0 4 3 6 0 0 32 65 4 101
176,285978,55 11 0 4 3 6 0 0 80 65 33 165
177,287977,55 11 0 4 3 6 0 0 32 65 4 101
178,289978,55 11 0 4 3 6 0 0 32 65 4 101
179,290978,55 11 0 4 3 6 0 0 0 65 29 165
180,292980,55 11 0 4 3 6 0 0 80 65 33 165
181,294991,55 11 0 4 3 6 0 0 48 65 9 165
182,296978,55 11 0 4 3 6 0 0 112 65 56 101
183,298978,55 11 0 4 3 6 0 0 16 65 16 101
184,300978,55 11 0 4 3 6 0 0 48 65 9 165
185,302978,55 11 0 4 3 6 0 0 16 65 16 101
186,304978,55 11 0 4 3 6 0 0 128 65 124 101
187,305978,55 11 0 4 3 6 0 0 32 65 4 101
188,307978,55 11 0 4 3 6 0 0 192 64 140 101
189,309978,55 11 0 4 3 6 0 0 0 65 29 165
190,311978,55 11 0 4 3 6 0 0 0 65 29 165
191,313991,55 11 0 4 3 6 0 0 16 65 16 101
192,315980,55 11 0 4 3 6 0 0 32 65 4 101
193,317981,55 11 0 4 3 6 0 0 48 65 9 165
194,319981,55 11 0 4 3 6 0 0 16 65 16 101
195,320982,55 11 0 4 3 6 0 0 16 65 16 101
196,323032,55 11 0 4 3 6 0 0 16 65 16 101
197,324980,55 11 0 4 3 6 0 0 224 64 149 165
198,326983,55 11 0 4 3 6 0 0 0 65 29 165
